POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,2,1,3,26,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,5,3,1,23,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
3,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,3,2,5,21,Rockstar Energy Husqvarna Factory Racing
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,6,7,2,19,MONSTER ENERGY KAWASAKI
5,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,4,4,11,18,Team Honda HRC
6,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,10,6,4,17,Rockstar Energy Husqvarna Factory Racing
7,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,8,5,7,16,Rocky Mountain ATV/MC - KTM - WPS
8,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,9,9,6,15,Rocky Mountain ATV/MC - KTM - WPS
9,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,7,11,9,14,MONSTER ENERGY KAWASAKI
10,94,Ken Roczen,"Clermont, FL",Honda CRF 450,1,22,8,13,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
11,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,14,8,10,12,Jgrmx/Yoshimura/Suzuki Factory Racing
12,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,12,10,12,11,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
13,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,15,12,13,10,H.E.P. Motorsports Suzuki/Mayhem Wheels/Thor/Redline Oil
14,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,16,13,14,9,Smartop Bullfrog Spas Honda
15,97,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,18,17,15,8,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Suzuki
16,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,17,14,19,7,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Redline Oil
17,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,11,19,21,6,MONSTER ENERGY-YAMAHA FACTORY RACING
18,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,20,15,16,5,TPJ Fly Racing/HRT/BK Tree Service/DSC Construction/California Coast Plumbers/Carls Cycles/Gamache Landscaping/Karcher/Lucas Oil/Pirelli/Rekluse/Engine Ice/Acerbis/Magik Graphics/Galfer/Torc 1 Racing
19,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,19,16,17,4,BWR I L-Tec I SSI Decals
20,33,Joshua Grant,"Wildomar, CA",Yamaha YZ450F,13,20,22,3,MONSTER ENERGY-YAMAHA FACTORY RACING
21,224,Charles Lefrancois,"Folligny, France",Suzuki RM-Z450,21,18,18,2,TEAM SR75/Suzuki/Shift/Shoei/Scott/FMF/Mika/Motul/Pirelli/Hinson
22,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,22,21,20,1,Smartop Bullfrog Spas Honda GDR Fox
