POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Cooper Webb,"Clermont, FL",KTM 450SX-F FE,29 Laps,0:43.216,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,2.214,0:42.926,MONSTER ENERGY KAWASAKI
3,16,Zach Osborne,"Clermont, FL",Husqvarna FC450 FE,5.291,0:43.448,Rockstar Energy Husqvarna Factory Racing
4,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,5.888,0:43.274,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 FE,7.744,0:43.246,Rockstar Energy Husqvarna Factory Racing
6,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,21.078,0:43.888,Honda HRC
7,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,22.491,0:43.922,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
8,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F FE,24.906,0:44.055,Team Tedder / Monster Energy Racing
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,26.242,0:43.968,Monster Energy Yamaha Factory Racing
10,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F FE,27.859,0:43.802,Team rocky mountain/WPS/KTM
11,50,Benny Bloss,"Oak Grove, MO",KTM 450SX-F FE,30.567,0:44.061,Rocky Mountain WPS KTM
12,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,46.968,0:44.486,Smartop/MotoConcepts/Bullfrog Spas Honda
13,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 FE,28 Laps,0:44.195,Rockstar Energy Husqvarna Factory Racing
14,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,1.451,0:43.566,Monster Energy Yamaha Factory Racing
15,22,Chad Reed,"Cornelius, NC",Honda CRF450R,2.280,0:44.786,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
16,20,Broc Tickle,"Holly, MI",Suzuki RMZ450,2.419,0:44.459,JGR/Yoshimura/Suzuki Factory Racing
17,64,Vince Friese,"Menifee, CA",Honda CRF450R,27.592,0:44.662,Smartop BullFrog Honda
18,44,Kyle Cunningham,"WIllow Park, TX",Suzuki RMZ450,32.195,0:44.967,"HEP Motorsports Suzuki, Thor, Mayhem Wheels, Redline Oil"
19,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,37.898,0:45.199,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
20,31,Fredrik Noren,"Indian Trail, NC",Suzuki RMZ450,47.258,0:45.041,JGR/Yoshimura/Suzuki Factory Racing
21,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,27 Laps,0:45.175,Triggr/RAK Racing/AHM Factory Services/Kawasaki
22,61,Alex Ray,"Milan, TN",Kawasaki KX450,19.180,0:45.489,"SGB_Racing, Maxxis, Babbitts Kawasaki"
