POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Cooper Webb,"Clermont, FL",KTM 450SX-F FE,26 Laps,0:45.676,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,16,Zach Osborne,"Clermont, FL",Husqvarna FC450 FE,5.091,0:46.222,Rockstar Energy Husqvarna Factory Racing
3,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,8.683,0:45.870,MONSTER ENERGY KAWASAKI
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F FE,9.622,0:46.176,Team rocky mountain/WPS/KTM
5,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,16.618,0:45.558,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
6,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F FE,20.255,0:46.647,Team Tedder / Monster Energy Racing
7,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 FE,25.011,0:46.747,Rockstar Energy Husqvarna Factory Racing
8,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 FE,38.322,0:46.680,Rockstar Energy Husqvarna Factory Racing
9,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,43.141,0:46.880,Monster Energy Yamaha Factory Racing
10,50,Benny Bloss,"Oak Grove, MO",KTM 450SX-F FE,49.391,0:47.224,Rocky Mountain WPS KTM
11,22,Chad Reed,"Cornelius, NC",Honda CRF450R,25 Laps,0:46.782,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
12,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,15.727,0:47.600,Honda HRC
13,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,23.241,0:47.748,Smartop/MotoConcepts/Bullfrog Spas Honda
14,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,28.541,0:47.675,Triggr/RAK Racing/AHM Factory Services/Kawasaki
15,64,Vince Friese,"Menifee, CA",Honda CRF450R,33.258,0:48.878,Smartop BullFrog Honda
16,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,43.081,0:48.536,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
17,20,Broc Tickle,"Holly, MI",Suzuki RMZ450,24 Laps,0:48.025,JGR/Yoshimura/Suzuki Factory Racing
18,61,Alex Ray,"Milan, TN",Kawasaki KX450,24.255,0:49.193,"SGB_Racing, Maxxis, Babbitts Kawasaki"
19,44,Kyle Cunningham,"WIllow Park, TX",Suzuki RMZ450,31.407,0:48.693,HEP Motorsports Suzuki
20,69,Carlen Gardner,"Paso Robles, CA",Honda CRF450R,23 Laps,0:49.571,BWR -LTEC-SSI-FLY- Honda
21,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,20 Laps,0:47.068,Monster Energy Yamaha Factory Racing
22,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,5 Laps,0:47.120,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
