POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,23 Laps,0:55.679,MONSTER ENERGY KAWASAKI
2,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,2.127,0:56.076,Monster Energy/Knich/Factory Yamaha team
3,94,Ken Roczen,"Clermont, FL",Honda CRF 450,3.623,0:56.271,Team Honda HRC
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,15.355,0:56.764,Rockstar Energy Husqvarna Factory Racing
5,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,17.822,0:56.937,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
6,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,23.822,0:56.877,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
7,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,24.825,0:56.939,Smartop/Bullfrog Spas/Honda
8,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,26.090,0:56.989,Monster Enery/Knich/Factory Yamaha Team
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,27.091,0:56.840,Rocky Mountain ATV/MC - KTM - WPS
10,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,29.455,0:56.651,MONSTER ENERGY KAWASAKI
11,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,31.516,0:57.076,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
12,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,39.189,0:56.678,Team Honda HRC
13,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,54.609,0:57.464,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
14,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,1:03.136,0:57.655,Smartop/Bullfrog Spas/Honda
15,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,22 Laps,0:58.477,Rockstar Energy Husqvarna Factory Racing
16,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,20.567,0:58.094,Triggr/Rutted/AHM Factory Services/Tyler Bowers Racing/Kawasaki
17,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,36.491,0:58.592,Autotrader JGR Yoshimura Suzuki Factory Racing
18,12,Jacob Weimer,"Huntington Beach, CA",Honda CRF 450,42.009,0:59.626,Smartop/Bullfrog Spas/Honda
19,22,Chad Reed,"Dade City, FL",Husqvarna FC450,21 Laps,0:58.433,CR22
20,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,18 Laps,0:58.816,Rocky Mountain ATV/MC - KTM - WPS
21,58,Matthew Bisceglia,"Weatherford, TX",Suzuki RM-Z450,10 Laps,0:59.749,"LVN 100, Nut Up, Suzuki"
22,91,Alex Ray,"Milan, TN",Yamaha YZ450F,5 Laps,1:00.605,CycleTrader Rock River YAMAHA
