POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1E,Chase Sexton,"Clermont, FL",Honda CRF250R,2,-,18,1,26
2,12,Shane Mcelrath,"Murrieta, CA",Yamaha YZ250F,1,-,4,2,24
3,13,Colt Nichols,"Murrieta, CA",Yamaha YZ250F,4,-,0,3,21
4,163,Pierce Brown,"Sandy, UT",KTM 250SX-F,6,-,0,4,19
5,84,Jo Shimoda,"Irvine, CA",Honda CRF250R,3,-,0,5,20
6,38,Kyle Peters,"Greensboro, NC",Honda CRF250R,8,-,0,6,17
7,66,Enzo Lopes,"Huntersville, NC",Yamaha YZ250F,19,-,0,7,30
8,49,Chris Blose,"Phoenix, AZ",Honda CRF250R,17,-,0,8,24
9,47,Lorenzo Locurcio,"Groveland, FL",Kawasaki KX250,7,-,0,9,18
10,73,Chase Marquier,"Newcastle, OK",Honda CRF250R,14,-,0,10,13
11,981,Curren Thurman,"Rosharon, TX",KTM 250SX-F,11,-,0,11,18
12,56,Justin Starling,"Deland, FL",Husqvarna FC250,12,-,0,12,11
13,77,Kevin Moranz,"Topeka, KS",KTM 250SX-F,18,-,0,13,10
14,352,Jalek Swoll,"Belleview, FL",Husqvarna FC250,5,-,0,14,12
15,157,Darian Sanayei,"Murrieta , CA",Kawasaki KX250,9,-,0,15,13
16,59,Joshua Osby,"Valparaiso, IN",Yamaha YZ250F,21,-,0,16,7
17,367,Hunter Sayles,"Chassell, MI",KTM 250SX-F,16,-,0,17,6
18,125,Luke Neese,"Jamestown, NC",Honda CRF250R,20,-,0,18,5
19,258,Justin Rodbell,"Prince Frederick, MD",Kawasaki KX250,22,-,0,19,14
20,43,John Short,"Pilot Point, TX",Honda CRF250R,10,-,0,20,3
21,75,Coty Schock,"Dover, DE",Honda CRF250R,15,-,0,21,10
22,67,Jerry Robin,"Hamel, MN",Husqvarna FC250,13,-,0,22,8
