POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,20 Laps,0:55.240,RCH Soaring Eagle/Jimmy Johns/Suzuki Factory Racing
2,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,4.199,0:56.266,Rockstar Energy Husqvarna Factory Racing
3,41,Trey Canard,"Edmond, OK",Honda CRF 450,5.353,0:55.799,Team Honda
4,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,9.541,0:56.343,KTM/RED BULL/MOTOREX/WP/AKRAPOVIC/DUNLOP
5,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,13.955,0:56.362,BTO Sports - KTM - WPS
6,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,17.208,0:56.795,Autotrader/Toyota/Yamaha
7,23,Weston Peick,"Menifee, CA",Yamaha YZ450F,19.924,0:56.286,JGR
8,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,21.952,0:56.739,RCH Soaring Eagle Jimmy Johns Suzuki Factory Racing
9,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,23.332,0:57.190,Smartop MotoConcepts Racing
10,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,24.493,0:56.754,Discount Tire
11,12,Jacob Weimer,"Wildomar, CA",Kawasaki KX 450F,25.445,0:56.877,Team Tedder
12,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,27.040,0:56.512,Yoshimura Suzuki Factory Racing/Motorex/Dunlop/Renthal/Showa/Vortex/Renegade Rentals/Shorai/Seven/Hinson/Elf Fuel/RG3/GET/TwinAir/Matrix/N-Style/D.I.D./Excel/NGK/Mechanix Wear/Works Connection/Moto Tassinari
13,10,Justin Brayton,"Murrieta, CA",KTM 450 SX-F Factory Edit,32.741,0:56.839,BTO Sports - KTM - WPS
14,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,35.484,0:56.667,Team Honda
15,15,Dean Wilson,"Wesley Chapel, FL",KTM 450 SX-F Factory Edit,37.379,0:57.411,KTM/RED BULL/MOTOREX/WP/AKRAPOVIC/DUNLOP
16,75,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,39.796,0:57.201,"Monster Energy, Yamaha, Valley Motorsports"
17,24,Brett Metcalfe,"Lake Elsinore, CA",Suzuki RM-Z450,42.246,0:57.192, 
18,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,44.233,0:57.540,Discount Tire Racing/TwoTwo Motorsports
19,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,47.330,0:56.339,Monster Energy Kawasaki
20,3,Eli Tomac,"Cortez, CO",Honda CRF 450,53.676,0:55.682,GEICO Honda
21,199,Kyle Partridge,"Canyon Lake, CA",Honda CRF 450,19 Laps,0:58.933,"Rocky Mountain ATV/MC, Dunlop, Golfer, Alpine Star, One Industry, Spy"
22,211,Tevin Tapia,"Menifee, CA",Suzuki RM-Z450,18 Laps,1:00.713,Team3BR 3Tperformance BRT fly bell DR.D
